id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Maria;Saraiva;Margarida.Batista75@live.com;repurpose withdrawal;2021-04-17T10:38:29;71697;45464
2;Cecília;Carvalho;Ladislau.Braga@gmail.com;withdrawal;2021-04-17T14:35:21;75289;21024
3;Yango;Oliveira;Alessandro.Franco@gmail.com;Prático;2021-04-16T23:38:45;71090;65309
4;Maitê;Xavier;Aline.Braga@bol.com.br;reinvent orchestrate;2021-04-16T19:08:22;52820;82484
5;Liz;Braga;Flix14@bol.com.br;mobile Granito;2021-04-17T13:46:16;13439;33970
6;Alice;Carvalho;Gustavo.Carvalho73@yahoo.com;Jamaica time-frame;2021-04-16T22:32:28;64329;13556
7;Emanuel;Santos;Liz72@live.com;Devolved rich;2021-04-17T01:02:36;54588;45928
8;Danilo;Albuquerque;Bryan8@hotmail.com;payment Distrito;2021-04-17T15:06:00;3244;21747
9;Mariana;Oliveira;Isis_Santos98@live.com;caramelo;2021-04-17T06:26:39;90189;81327
10;Alessandro;Saraiva;Calebe79@gmail.com;Mesa Acre Checking;2021-04-16T19:06:49;32637;8639
